id,name,image_link,product_link,website_link,product_api_url,api_featured_image
487,Physicians Formula Bronze Booster Airbrushing Bronzing Veil ,"https://d3t32hsnjxo7q6.cloudfront.net/i/8969af04326145997e95fe8f91e2c88e_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/physicians-formula-bronze-booster_70977.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/487.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/487/original/open-uri20171223-4-a8m110?1514063329
486,CoverGirl Clean Glow Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/4e90929a9c24a51c3db3988b205f3b43_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-clean-glow-bronzer_78622.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/486.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/486/original/data?1514063329
485,Milani Baked Bronzer ,"https://d3t32hsnjxo7q6.cloudfront.net/i/1b01ce49ace4842e034664361f1310de_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/milani-baked-bronzer_108614.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/485.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/485/original/open-uri20171223-4-14pkodz?1514063329
484,Physicians Formula Organic Wear 100% Natural Origin Bronzer ,"https://d3t32hsnjxo7q6.cloudfront.net/i/9b404b7840f4f3a78426c166aa584216_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/physicians-formula-organic-wear-100_12031.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/484.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/484/original/open-uri20171223-4-dzkokg?1514063329
483,Dr. Hauschka Translucent Bronzing Tint,"https://d3t32hsnjxo7q6.cloudfront.net/i/08fe5abc37bb3d483909774d43c438e4_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/dr-hauschka-translucent-bronzing_93615.html?cat=328,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/483.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/483/original/data?1514063329
481,Pure Anada Loose Mineral Luminous Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/01195de6de1092125f703c5662d99af9_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/pure-anada-loose-mineral-luminous_93637.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/481.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/481/original/data?1514063329
480,Cargo Cosmetics HD Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/ebf3bbabc1ef4fddc2a8675e2e8be0e1_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/cargo-cosmetics-hd-bronzer_87523.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/480.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/480/original/data?1514063328
479,Physicians Formula Bronze Booster Glow-Boosting BB Cream,"https://d3t32hsnjxo7q6.cloudfront.net/i/7a965c3cfc7955d4e156a88f87950168_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/physicians-formula-bronze-booster_90009.html?cat=328,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/479.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/479/original/data?1514063328
478,e.l.f. Studio Bronzer,"https://d3t32hsnjxo7q6.cloudfront.net/i/5bff7471d5030f2e808476e2ef735b82_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/elf-studio-bronzer_93458.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/478.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/478/original/data?1514063328
477,Maybelline Facestudio Master Contour Kit,"https://d3t32hsnjxo7q6.cloudfront.net/i/4f731de249cbd4cb819ea7f5f4cfb5c3_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/maybelline-facestudio-master-contour_120303.html?cat=328,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/477.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/477/original/open-uri20171223-4-1m8bc4v?1514063328
476,NYX Mosaic Powder Blush Spice,"https://d3t32hsnjxo7q6.cloudfront.net/i/24df710e2cd9c9695cebec8732f47356_ra,w158,h184_pa,w158,h184.png",https://well.ca/products/nyx-mosaic-powder-blush-spice_106233.html?cat=328,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/476.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/476/original/open-uri20171223-4-j906qs?1514063327
475,Fake Bake Blush Legal Sunburn,"https://d3t32hsnjxo7q6.cloudfront.net/i/a20f3622d08d7b87492ca0af0319bf73_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/fake-bake-blush-legal-sunburn_103989.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/475.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/475/original/data?1514063327
474,NYX Ombre Blush,"https://d3t32hsnjxo7q6.cloudfront.net/i/e91bc936934a3e027f3e8e38f819c15a_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/nyx-ombre-blush_118021.html,https://well.ca,http://makeup-api.herokuapp.com/api/v1/products/474.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/474/original/data?1514063327
